Date,Temperature_C,Relative_Humidity_%,Pressure_Pa,Net_Radiation_MJ_m2_day,Wind_Speed_m_s,Temperature_F,Radiation_Sanity,ET0,ETc,Season,crop name,growth stage,Kc
2023-03-01,15.65,49.51,87.66,13.717728,1.34,60.17,OK,4.307360899093896,1.7229443596375587,Zaid,Ginger,Initial,0.4
2023-03-01,15.65,49.51,87.66,13.717728,1.34,60.17,OK,4.307360899093896,1.7229443596375587,Zaid,Buckwheat,Initial,0.3
2023-03-01,15.65,49.51,87.66,13.717728,1.34,60.17,OK,4.307360899093896,1.7229443596375587,Zaid,Large Cardamom,Initial,0.5
2023-03-01,15.65,49.51,87.66,13.717728,1.34,60.17,OK,4.307360899093896,1.7229443596375587,Zaid,Ginger,Initial,0.6
2023-03-01,15.65,49.51,87.66,13.717728,1.34,60.17,OK,4.307360899093896,1.7229443596375587,Zaid,Turmeric,Initial,0.6
2023-03-01,15.65,49.51,87.66,13.717728,1.34,60.17,OK,4.307360899093896,1.7229443596375587,Zaid,Orange,Initial,0.8
2023-03-01,15.65,49.51,87.66,13.717728,1.34,60.17,OK,4.307360899093896,1.7229443596375587,Zaid,Mandarin,Initial,0.8
2023-03-01,15.65,49.51,87.66,13.717728,1.34,60.17,OK,4.307360899093896,1.7229443596375587,Zaid,Tomato,Initial,0.7
2023-03-01,15.65,49.51,87.66,13.717728,1.34,60.17,OK,4.307360899093896,1.7229443596375587,Zaid,Tomato,Development,0.85
2023-03-01,15.65,49.51,87.66,13.717728,1.34,60.17,OK,4.307360899093896,1.7229443596375587,Zaid,Mandarin,Development,0.85
2023-03-01,15.65,49.51,87.66,13.717728,1.34,60.17,OK,4.307360899093896,1.7229443596375587,Zaid,Orange,Development,0.35
2023-03-01,15.65,49.51,87.66,13.717728,1.34,60.17,OK,4.307360899093896,1.7229443596375587,Zaid,Turmeric,Development,0.8
2023-03-01,15.65,49.51,87.66,13.717728,1.34,60.17,OK,4.307360899093896,1.7229443596375587,Zaid,Ginger,Development,1.07
2023-03-01,15.65,49.51,87.66,13.717728,1.34,60.17,OK,4.307360899093896,1.7229443596375587,Zaid,Buckwheat,Development,0.7
2023-03-01,15.65,49.51,87.66,13.717728,1.34,60.17,OK,4.307360899093896,1.7229443596375587,Zaid,Tomato,Mid-Season,1.12
2023-03-01,15.65,49.51,87.66,13.717728,1.34,60.17,OK,4.307360899093896,1.7229443596375587,Zaid,Mandarin,Mid-Season,1.2
2023-03-01,15.65,49.51,87.66,13.717728,1.34,60.17,OK,4.307360899093896,1.7229443596375587,Zaid,Orange,Mid-Season,0.63
2023-03-01,15.65,49.51,87.66,13.717728,1.34,60.17,OK,4.307360899093896,1.7229443596375587,Zaid,Turmeric,Mid-Season,1.2
2023-03-01,15.65,49.51,87.66,13.717728,1.34,60.17,OK,4.307360899093896,1.7229443596375587,Zaid,Ginger,Mid-Season,1.13
2023-03-01,15.65,49.51,87.66,13.717728,1.34,60.17,OK,4.307360899093896,1.7229443596375587,Zaid,Buckwheat,Mid-Season,1.1
2023-03-01,15.65,49.51,87.66,13.717728,1.34,60.17,OK,4.307360899093896,1.7229443596375587,Zaid,Tomato,Late Season,0.85
2023-03-01,15.65,49.51,87.66,13.717728,1.34,60.17,OK,4.307360899093896,1.7229443596375587,Zaid,Mandarin,Late Season,0.8
2023-03-01,15.65,49.51,87.66,13.717728,1.34,60.17,OK,4.307360899093896,1.7229443596375587,Zaid,Orange,Late Season,0.78
2023-03-01,15.65,49.51,87.66,13.717728,1.34,60.17,OK,4.307360899093896,1.7229443596375587,Zaid,Turmeric,Late Season,0.6
2023-03-01,15.65,49.51,87.66,13.717728,1.34,60.17,OK,4.307360899093896,1.7229443596375587,Zaid,Ginger,Late Season,0.7
2023-03-01,15.65,49.51,87.66,13.717728,1.34,60.17,OK,4.307360899093896,1.7229443596375587,Zaid,Buckwheat,Late Season,0.5
2023-03-02,15.83,49.34,87.62,11.055744,1.44,60.494,OK,3.75129060601356,1.125387181804068,Zaid,Ginger,Initial,0.4
2023-03-02,15.83,49.34,87.62,11.055744,1.44,60.494,OK,3.75129060601356,1.125387181804068,Zaid,Buckwheat,Initial,0.3
2023-03-02,15.83,49.34,87.62,11.055744,1.44,60.494,OK,3.75129060601356,1.125387181804068,Zaid,Large Cardamom,Initial,0.5
2023-03-02,15.83,49.34,87.62,11.055744,1.44,60.494,OK,3.75129060601356,1.125387181804068,Zaid,Ginger,Initial,0.6
2023-03-02,15.83,49.34,87.62,11.055744,1.44,60.494,OK,3.75129060601356,1.125387181804068,Zaid,Turmeric,Initial,0.6
2023-03-02,15.83,49.34,87.62,11.055744,1.44,60.494,OK,3.75129060601356,1.125387181804068,Zaid,Orange,Initial,0.8
2023-03-02,15.83,49.34,87.62,11.055744,1.44,60.494,OK,3.75129060601356,1.125387181804068,Zaid,Mandarin,Initial,0.8
2023-03-02,15.83,49.34,87.62,11.055744,1.44,60.494,OK,3.75129060601356,1.125387181804068,Zaid,Tomato,Initial,0.7
2023-03-02,15.83,49.34,87.62,11.055744,1.44,60.494,OK,3.75129060601356,1.125387181804068,Zaid,Tomato,Development,0.85
2023-03-02,15.83,49.34,87.62,11.055744,1.44,60.494,OK,3.75129060601356,1.125387181804068,Zaid,Mandarin,Development,0.85
2023-03-02,15.83,49.34,87.62,11.055744,1.44,60.494,OK,3.75129060601356,1.125387181804068,Zaid,Orange,Development,0.35
2023-03-02,15.83,49.34,87.62,11.055744,1.44,60.494,OK,3.75129060601356,1.125387181804068,Zaid,Turmeric,Development,0.8
2023-03-02,15.83,49.34,87.62,11.055744,1.44,60.494,OK,3.75129060601356,1.125387181804068,Zaid,Ginger,Development,1.07
